roll_no,gender,race_ethnicity,total_score,grade,academic_strength,lunch,test_preparation_course
std-142,male,group D,280.0,B,70.0,1.0,0.0
std-145,male,group D,264.0,B,66.0,1.0,0.0
std-149,male,group C,308.0,B,77.0,1.0,0.0
std-150,male,group C,313.0,B,78.25,0.0,0.0
std-153,male,group C,258.0,B,64.5,1.0,0.0
std-154,male,group D,309.0,B,77.25,0.0,0.0
std-155,male,group B,313.0,B,78.25,0.0,0.0
std-159,male,group B,281.0,B,70.25,0.0,0.0
std-160,male,,310.0,B,77.5,1.0,0.0
std-162,male,group D,257.0,B,,0.0,
std-163,male,group E,296.0,B,,1.0,0.0
std-165,male,group C,,B,69.5,0.0,1.0
std-167,male,group D,320.0,A,80.0,0.0,0.0
std-169,male,group C,275.0,B,68.75,1.0,0.0
std-170,male,group E,258.0,B,64.5,0.0,1.0
std-171,male,group C,262.0,B,65.5,0.0,0.0
std-173,male,group D,269.0,B,67.25,0.0,1.0
std-174,male,group D,264.0,B,66.0,1.0,0.0
std-176,male,group B,283.0,B,70.75,0.0,0.0
std-177,male,group E,322.0,A,80.5,1.0,1.0
std-178,male,group E,267.0,B,66.75,1.0,1.0
std-180,male,group C,285.0,B,,1.0,1.0
std-183,male,group D,276.0,B,69.0,1.0,
std-184,male,group D,288.0,B,72.0,,1.0
std-185,male,group E,303.0,B,75.75,1.0,0.0
std-186,male,,288.0,B,72.0,1.0,0.0
std-187,male,group C,273.0,B,68.25,1.0,1.0
std-191,male,group C,269.0,B,67.25,1.0,1.0
std-192,male,group E,264.0,B,66.0,1.0,1.0
std-194,male,group D,305.0,B,76.25,1.0,1.0
std-195,male,group E,272.0,B,68.0,1.0,1.0
std-199,male,group D,254.0,B,63.5,1.0,1.0
std-200,male,group D,250.0,B,62.5,0.0,0.0
std-201,male,group C,310.0,B,77.5,1.0,1.0
std-204,male,group C,260.0,B,65.0,1.0,1.0
std-210,male,group A,269.0,B,67.25,1.0,0.0
std-213,male,group C,284.0,B,71.0,,0.0
std-219,male,group C,,B,68.5,1.0,1.0
std-221,male,group C,322.0,A,80.5,0.0,1.0
std-222,male,group A,304.0,B,76.0,1.0,0.0
std-223,male,group B,283.0,B,70.75,0.0,1.0
std-228,male,group D,271.0,B,67.75,1.0,1.0
std-231,male,group D,277.0,B,69.25,1.0,1.0
std-232,male,group D,252.0,B,63.0,1.0,1.0
std-235,male,group E,252.0,B,63.0,0.0,0.0
std-236,male,group E,266.0,B,66.5,0.0,0.0
std-240,male,group C,277.0,B,69.25,0.0,0.0
std-241,male,group E,306.0,B,76.5,1.0,1.0
std-243,male,group E,282.0,B,70.5,1.0,0.0
std-244,male,group C,263.0,B,,0.0,0.0
std-245,male,group D,265.0,B,,1.0,1.0
std-246,male,group D,260.0,B,,1.0,1.0
std-248,male,group C,258.0,B,64.5,,0.0
std-251,,group D,262.0,B,65.5,1.0,1.0
std-252,male,group B,318.0,B,79.5,1.0,0.0
std-253,male,group A,281.0,B,70.25,0.0,1.0
std-257,male,group E,285.0,B,71.25,1.0,1.0
std-258,male,group A,328.0,A,82.0,1.0,0.0
std-260,male,group E,304.0,B,76.0,1.0,1.0
std-261,male,group D,355.0,A,88.75,0.0,0.0
std-262,male,group B,324.0,A,81.0,1.0,0.0
std-264,male,group E,260.0,B,65.0,0.0,0.0
std-265,male,group D,278.0,B,69.5,1.0,1.0
std-267,male,group D,300.0,B,75.0,0.0,0.0
std-268,male,group C,263.0,B,65.75,1.0,1.0
std-269,male,group D,302.0,B,75.5,1.0,0.0
std-270,male,group C,320.0,A,80.0,1.0,0.0
std-272,male,group E,325.0,A,81.25,0.0,0.0
std-273,male,group D,261.0,B,65.25,1.0,0.0
std-274,male,group A,254.0,B,63.5,1.0,0.0
std-276,male,group B,263.0,B,65.75,1.0,0.0
std-285,male,group C,262.0,B,65.5,1.0,1.0
std-288,male,group C,264.0,B,66.0,1.0,0.0
std-290,male,group B,330.0,A,82.5,1.0,0.0
std-291,male,group B,268.0,B,67.0,0.0,0.0
std-294,male,group E,291.0,B,72.75,0.0,0.0
std-295,male,group D,275.0,B,68.75,1.0,1.0
std-296,male,group C,297.0,B,74.25,1.0,1.0
std-298,male,group C,295.0,B,73.75,1.0,0.0
std-299,male,group B,274.0,B,68.5,0.0,0.0
std-300,male,group C,311.0,B,77.75,0.0,0.0
std-303,male,group D,371.0,A,92.75,1.0,0.0
std-306,male,group B,294.0,B,73.5,1.0,0.0
std-307,male,group A,263.0,B,65.75,1.0,1.0
std-308,male,group E,264.0,B,66.0,1.0,0.0
std-311,male,group C,303.0,B,75.75,1.0,0.0
std-312,male,group C,360.0,A,90.0,1.0,0.0
std-313,male,group B,256.0,B,64.0,0.0,1.0
std-314,male,group E,329.0,A,82.25,1.0,0.0
std-316,male,group C,271.0,B,67.75,1.0,1.0
std-318,male,group D,269.0,B,67.25,0.0,1.0
std-319,male,group D,251.0,B,62.75,0.0,1.0
std-322,male,group E,297.0,B,74.25,0.0,1.0
std-324,male,group E,284.0,B,71.0,0.0,1.0
std-328,male,group C,322.0,A,80.5,1.0,0.0
std-329,male,group B,263.0,B,65.75,1.0,1.0
std-330,male,group B,304.0,B,76.0,1.0,1.0
std-332,male,group E,271.0,B,67.75,1.0,1.0
std-333,male,group B,258.0,B,64.5,1.0,1.0
std-334,male,group C,324.0,A,81.0,1.0,0.0
std-336,male,group C,278.0,B,69.5,0.0,1.0
std-337,male,group A,321.0,A,80.25,1.0,0.0
std-340,male,group C,271.0,B,67.75,1.0,0.0
std-341,male,group C,309.0,B,77.25,0.0,0.0
std-342,male,group D,307.0,B,76.75,1.0,1.0
std-343,male,group E,276.0,B,69.0,1.0,0.0
std-344,male,group B,251.0,B,62.75,1.0,0.0
std-345,male,group B,280.0,B,70.0,0.0,1.0
std-347,male,group A,268.0,B,67.0,1.0,0.0
std-349,male,group C,253.0,B,63.25,1.0,0.0
std-350,male,group B,334.0,A,83.5,0.0,1.0
std-351,male,group C,263.0,B,65.75,0.0,0.0
std-352,male,group C,319.0,B,79.75,0.0,0.0
std-355,male,group B,276.0,B,69.0,0.0,1.0
std-357,male,group B,255.0,B,63.75,1.0,0.0
std-360,male,group C,288.0,B,72.0,1.0,0.0
std-361,male,group C,250.0,B,62.5,1.0,1.0
std-364,male,group B,308.0,B,77.0,1.0,0.0
std-365,male,group B,283.0,B,70.75,1.0,1.0
std-366,male,group C,326.0,A,81.5,1.0,1.0
std-368,male,group D,331.0,A,82.75,1.0,1.0
std-370,male,group B,312.0,B,78.0,1.0,0.0
std-372,male,group D,337.0,A,84.25,0.0,1.0
std-376,male,group D,293.0,B,73.25,0.0,1.0
std-379,male,group A,271.0,B,67.75,1.0,0.0
std-380,male,group D,337.0,A,84.25,0.0,1.0
std-384,male,group E,275.0,B,68.75,1.0,0.0
std-386,male,group E,302.0,B,75.5,1.0,1.0
std-390,male,group A,254.0,B,63.5,0.0,0.0
std-391,male,group C,293.0,B,73.25,1.0,0.0
std-392,male,group C,254.0,B,63.5,0.0,1.0
std-394,male,group D,255.0,B,63.75,0.0,0.0
std-396,male,group D,310.0,B,77.5,0.0,1.0
std-397,male,group D,272.0,B,68.0,1.0,0.0
std-398,male,group D,296.0,B,74.0,1.0,0.0
std-399,male,group D,260.0,B,65.0,1.0,1.0
std-401,male,group B,316.0,B,79.0,0.0,0.0
std-402,male,group D,308.0,B,77.0,0.0,0.0
std-403,male,group C,273.0,B,68.25,0.0,1.0
std-404,male,group E,257.0,B,64.25,1.0,0.0
std-407,,group C,275.0,B,68.75,1.0,0.0
std-409,male,group C,297.0,B,74.25,,1.0
std-411,male,group B,275.0,B,,1.0,0.0
std-415,male,group E,,A,81.0,0.0,0.0
std-417,male,group B,264.0,B,66.0,1.0,1.0
std-419,male,group E,261.0,B,65.25,1.0,1.0
std-420,male,group C,304.0,B,76.0,1.0,0.0
std-425,male,group D,266.0,B,66.5,0.0,1.0
std-426,male,group C,269.0,B,67.25,1.0,0.0
std-429,male,group C,336.0,A,84.0,0.0,1.0
std-431,male,group A,303.0,B,75.75,0.0,1.0
std-432,male,group A,355.0,A,88.75,0.0,1.0
std-434,male,group B,343.0,A,85.75,0.0,0.0
std-437,male,group C,290.0,B,72.5,0.0,1.0
std-438,male,group D,266.0,B,66.5,1.0,0.0
std-439,male,group B,352.0,A,88.0,0.0,0.0
std-440,male,group D,309.0,B,77.25,0.0,0.0
std-441,male,group D,256.0,B,64.0,1.0,1.0
std-444,male,group C,273.0,B,68.25,0.0,0.0
std-446,male,group B,267.0,B,66.75,1.0,0.0
std-447,male,group C,289.0,B,72.25,1.0,1.0
std-449,male,group B,253.0,B,63.25,0.0,0.0
std-450,male,group C,323.0,A,80.75,1.0,1.0
std-451,male,group B,250.0,B,62.5,1.0,1.0
std-453,male,group B,362.0,A,90.5,1.0,0.0
std-455,male,group C,305.0,B,76.25,1.0,1.0
std-456,male,group C,290.0,B,72.5,1.0,0.0
std-458,male,group C,271.0,B,67.75,0.0,1.0
std-459,male,group D,273.0,B,68.25,1.0,1.0
std-461,male,group C,267.0,B,66.75,0.0,0.0
std-463,male,group B,295.0,B,73.75,1.0,1.0
std-464,male,group C,296.0,B,74.0,1.0,1.0
std-465,male,group B,275.0,B,68.75,0.0,1.0
std-467,male,group D,308.0,B,77.0,0.0,0.0
std-468,male,group D,261.0,B,65.25,1.0,1.0
std-470,male,group D,288.0,B,72.0,0.0,0.0
std-473,male,group D,266.0,B,66.5,0.0,0.0
std-476,male,group C,274.0,B,68.5,0.0,1.0
std-482,male,group B,316.0,B,79.0,0.0,1.0
std-483,male,group D,272.0,B,68.0,0.0,1.0
std-486,male,group B,346.0,A,86.5,1.0,1.0
std-487,male,group D,319.0,B,79.75,0.0,1.0
std-488,male,group D,254.0,B,63.5,0.0,0.0
std-491,male,group D,309.0,B,77.25,1.0,0.0
std-494,male,group C,305.0,B,76.25,0.0,1.0
std-497,male,group D,270.0,B,67.5,1.0,1.0
std-498,male,group C,280.0,B,70.0,1.0,0.0
std-499,male,group A,277.0,B,69.25,0.0,1.0
std-500,male,group C,288.0,B,72.0,0.0,0.0
std-502,male,group C,316.0,B,79.0,1.0,0.0
std-503,male,group C,343.0,A,85.75,1.0,1.0
std-506,male,group C,326.0,A,81.5,0.0,0.0
std-507,male,group D,280.0,B,70.0,0.0,0.0
std-508,male,group B,275.0,B,68.75,1.0,0.0
std-509,male,group C,317.0,B,79.25,1.0,1.0
std-513,male,group C,287.0,B,71.75,1.0,1.0
std-515,male,group A,263.0,B,65.75,1.0,0.0
std-516,male,group C,313.0,B,78.25,1.0,1.0
std-517,male,group C,275.0,B,68.75,0.0,0.0
std-519,male,group D,306.0,B,76.5,1.0,1.0
std-522,male,group C,266.0,B,66.5,0.0,0.0
std-523,male,group D,274.0,B,68.5,1.0,0.0
std-524,male,group B,315.0,B,78.75,1.0,1.0
std-525,male,group C,283.0,B,70.75,1.0,0.0
std-527,male,group E,327.0,A,81.75,1.0,0.0
std-529,male,group B,267.0,B,,0.0,1.0
std-530,male,group B,259.0,B,,0.0,0.0
std-532,male,group B,267.0,B,66.75,0.0,
std-534,male,group C,280.0,B,70.0,1.0,0.0
std-536,,group C,287.0,B,71.75,0.0,1.0
std-538,male,group C,262.0,B,65.5,1.0,1.0
std-539,male,group C,339.0,A,84.75,1.0,0.0
std-543,male,group C,292.0,B,73.0,0.0,1.0
std-545,male,group E,278.0,B,69.5,1.0,1.0
std-546,male,group B,260.0,B,65.0,0.0,0.0
std-547,male,group D,271.0,B,67.75,1.0,1.0
std-548,male,group C,269.0,B,67.25,1.0,1.0
std-551,male,group D,290.0,B,72.5,0.0,0.0
std-552,male,group B,281.0,B,70.25,0.0,0.0
std-554,male,group B,293.0,B,73.25,0.0,1.0
std-555,male,group C,253.0,B,63.25,0.0,0.0
std-556,male,group A,287.0,B,71.75,1.0,0.0
std-557,male,group E,297.0,B,74.25,1.0,0.0
std-558,male,group D,309.0,B,77.25,0.0,0.0
std-560,male,group D,318.0,B,79.5,0.0,1.0
std-565,male,group C,298.0,B,74.5,1.0,0.0
std-566,male,group D,363.0,A,90.75,0.0,0.0
std-570,male,group D,310.0,B,77.5,1.0,0.0
std-571,male,group D,281.0,B,70.25,1.0,0.0
std-573,male,group D,311.0,B,77.75,0.0,0.0
std-574,male,group B,341.0,A,85.25,1.0,1.0
std-576,male,group B,266.0,B,66.5,1.0,1.0
std-577,male,group E,291.0,B,72.75,1.0,1.0
std-579,male,group B,279.0,B,69.75,0.0,0.0
std-584,male,group B,285.0,B,71.25,0.0,1.0
std-586,male,group E,292.0,B,73.0,1.0,0.0
std-588,male,group B,287.0,B,71.75,1.0,0.0
std-590,male,group C,351.0,A,87.75,1.0,0.0
std-592,male,group C,313.0,B,78.25,0.0,1.0
std-593,male,group C,271.0,B,67.75,1.0,0.0
std-594,male,group B,318.0,B,79.5,1.0,0.0
std-595,male,group C,295.0,B,73.75,1.0,0.0
std-596,male,group B,277.0,B,69.25,1.0,1.0
std-598,male,group D,280.0,B,70.0,1.0,1.0
std-599,male,group B,304.0,B,76.0,1.0,0.0
std-601,male,group C,284.0,B,71.0,0.0,0.0
std-603,male,group D,263.0,B,65.75,0.0,1.0
std-604,male,group B,255.0,B,63.75,0.0,0.0
std-608,male,group E,283.0,B,70.75,0.0,0.0
std-610,male,group A,273.0,B,68.25,0.0,0.0
std-611,male,group D,293.0,B,73.25,0.0,0.0
std-614,male,group C,293.0,B,73.25,1.0,0.0
std-619,male,group C,348.0,A,87.0,1.0,1.0
std-621,male,group C,358.0,A,89.5,0.0,0.0
std-622,male,group B,346.0,A,86.5,0.0,0.0
std-624,male,group A,263.0,B,65.75,0.0,0.0
std-626,male,group C,307.0,B,76.75,1.0,0.0
std-627,male,group C,286.0,B,71.5,1.0,0.0
std-630,male,group B,327.0,A,81.75,1.0,1.0
std-634,male,group D,282.0,B,70.5,1.0,0.0
std-635,male,group D,270.0,B,67.5,0.0,0.0
std-637,male,group D,288.0,B,72.0,0.0,0.0
std-644,male,group E,300.0,B,75.0,0.0,0.0
std-645,male,group E,333.0,A,83.25,0.0,1.0
std-646,male,,353.0,A,88.25,1.0,0.0
std-647,male,group C,319.0,B,79.75,0.0,1.0
std-648,male,group D,291.0,B,72.75,,0.0
std-649,male,group D,280.0,B,70.0,0.0,
std-651,male,group B,260.0,B,,0.0,0.0
std-652,male,group C,281.0,B,,1.0,0.0
std-654,male,group B,,A,87.75,1.0,1.0
std-655,male,group C,300.0,B,75.0,1.0,0.0
std-656,male,group C,326.0,A,81.5,1.0,1.0
std-657,male,group D,331.0,A,82.75,0.0,0.0
std-659,male,group D,250.0,B,62.5,1.0,1.0
std-661,male,group A,270.0,B,67.5,1.0,0.0
std-662,male,group C,280.0,B,70.0,1.0,0.0
std-665,male,group D,273.0,B,68.25,0.0,1.0
std-666,male,group D,251.0,B,62.75,0.0,0.0
std-669,male,group E,295.0,B,73.75,1.0,0.0
std-670,male,group E,274.0,B,68.5,1.0,0.0
std-671,male,group E,258.0,B,64.5,1.0,0.0
std-674,male,group C,299.0,B,74.75,1.0,1.0
std-677,male,group C,300.0,B,75.0,0.0,0.0
std-681,male,group D,281.0,B,70.25,0.0,1.0
std-682,male,group E,278.0,B,69.5,0.0,0.0
std-685,male,group C,287.0,B,71.75,0.0,1.0
std-686,male,group C,280.0,B,70.0,1.0,0.0
std-687,male,group E,274.0,B,68.5,1.0,0.0
std-689,male,group B,300.0,B,75.0,1.0,0.0
std-695,male,group C,315.0,B,78.75,1.0,1.0
std-696,male,group C,269.0,B,67.25,1.0,0.0
std-698,male,group A,278.0,B,69.5,1.0,1.0
std-701,male,group E,325.0,A,81.25,0.0,0.0
std-704,male,group D,327.0,A,81.75,1.0,0.0
std-705,male,group D,302.0,B,75.5,1.0,0.0
std-707,male,group D,258.0,B,64.5,1.0,0.0
std-710,male,group C,263.0,B,65.75,1.0,0.0
std-712,male,group D,288.0,B,72.0,1.0,0.0
std-713,male,group D,307.0,B,76.75,1.0,1.0
std-717,male,group C,268.0,B,67.0,1.0,0.0
std-718,male,group D,322.0,A,80.5,1.0,0.0
std-719,male,group D,325.0,A,81.25,0.0,0.0
std-721,male,group C,279.0,B,69.75,1.0,0.0
std-722,male,group D,326.0,A,81.5,1.0,0.0
std-723,male,group B,353.0,A,88.25,1.0,0.0
std-724,male,group C,284.0,B,71.0,1.0,0.0
std-726,male,group D,266.0,B,66.5,1.0,0.0
std-728,male,group D,288.0,B,72.0,1.0,0.0
std-731,male,group E,310.0,B,77.5,1.0,1.0
std-736,male,group D,286.0,B,71.5,1.0,1.0
std-737,male,group A,278.0,B,69.5,1.0,1.0
std-740,male,group A,332.0,A,83.0,1.0,0.0
std-742,male,group B,314.0,B,78.5,0.0,0.0
std-745,male,group C,339.0,A,84.75,0.0,1.0
std-746,male,group D,259.0,B,64.75,0.0,0.0
std-748,male,group C,294.0,B,73.5,1.0,1.0
std-749,male,group C,317.0,B,79.25,0.0,0.0
std-750,male,group C,359.0,A,89.75,0.0,0.0
std-752,male,group C,321.0,A,80.25,1.0,1.0
std-753,male,group B,344.0,A,86.0,1.0,0.0
std-757,male,group C,269.0,B,67.25,1.0,1.0
std-758,male,group E,312.0,B,78.0,1.0,0.0
std-761,male,group D,299.0,B,74.75,0.0,0.0
std-762,male,group C,287.0,B,71.75,0.0,1.0
std-763,male,group C,314.0,B,78.5,0.0,1.0
std-766,male,group B,317.0,B,79.25,1.0,1.0
std-767,male,group B,323.0,A,80.75,1.0,0.0
std-768,male,group B,266.0,B,,1.0,0.0
std-769,male,group C,255.0,B,63.75,0.0,0.0
std-770,male,group B,285.0,B,71.25,1.0,
std-771,male,group C,269.0,B,67.25,,0.0
std-772,male,group A,273.0,B,68.25,1.0,1.0
std-775,male,group D,272.0,B,68.0,1.0,0.0
std-777,male,group E,299.0,B,74.75,0.0,1.0
std-779,male,group D,300.0,B,75.0,1.0,1.0
std-780,male,group C,329.0,A,82.25,0.0,1.0
std-781,male,group C,297.0,B,74.25,1.0,0.0
std-782,male,group D,331.0,A,82.75,1.0,1.0
std-784,male,group E,257.0,B,64.25,0.0,0.0
std-789,male,group D,305.0,B,76.25,1.0,0.0
std-790,male,group D,272.0,B,68.0,1.0,1.0
std-793,male,group D,319.0,B,79.75,0.0,0.0
std-795,male,group E,269.0,B,67.25,1.0,1.0
std-798,male,group C,263.0,B,65.75,1.0,1.0
std-799,male,group B,294.0,B,73.5,1.0,1.0
std-800,male,group A,281.0,B,70.25,0.0,0.0
std-801,male,group E,307.0,B,76.75,1.0,0.0
std-806,male,group E,302.0,B,75.5,1.0,1.0
std-808,male,group B,264.0,B,66.0,0.0,0.0
std-810,male,group C,260.0,B,65.0,1.0,0.0
std-811,male,group E,317.0,B,79.25,0.0,1.0
std-813,male,group E,276.0,B,69.0,0.0,0.0
std-816,male,group B,269.0,B,67.25,1.0,0.0
std-820,male,group D,267.0,B,66.75,0.0,1.0
std-821,male,group D,305.0,B,76.25,1.0,0.0
std-822,male,group C,260.0,B,65.0,1.0,0.0
std-823,male,group E,251.0,B,62.75,0.0,1.0
std-824,male,group A,272.0,B,68.0,0.0,0.0
std-827,male,group B,267.0,B,66.75,1.0,0.0
std-828,male,group B,274.0,B,68.5,1.0,0.0
std-830,male,group E,283.0,B,70.75,0.0,1.0
std-831,male,group A,266.0,B,66.5,0.0,0.0
std-835,male,group E,260.0,B,65.0,0.0,1.0
std-836,male,group C,274.0,B,68.5,0.0,1.0
std-837,male,group D,253.0,B,63.25,1.0,0.0
std-838,male,group D,319.0,B,79.75,0.0,0.0
std-841,male,group C,275.0,B,68.75,1.0,1.0
std-843,male,group D,253.0,B,63.25,0.0,0.0
std-844,male,group C,285.0,B,71.25,1.0,0.0
std-845,male,group C,299.0,B,74.75,0.0,0.0
std-846,male,group B,300.0,B,75.0,1.0,0.0
std-847,male,group C,274.0,B,68.5,0.0,0.0
std-848,male,group D,313.0,B,78.25,0.0,0.0
std-849,male,group E,258.0,B,64.5,1.0,0.0
std-850,male,group B,298.0,B,74.5,1.0,1.0
std-851,male,group B,273.0,B,68.25,0.0,0.0
std-852,male,group B,270.0,B,67.5,1.0,1.0
std-854,male,group C,322.0,A,80.5,0.0,1.0
std-860,male,group A,284.0,B,71.0,0.0,0.0
std-862,male,group D,258.0,B,64.5,0.0,1.0
std-864,male,group C,287.0,B,71.75,1.0,0.0
std-866,male,group D,256.0,B,64.0,0.0,0.0
std-868,male,group B,285.0,B,71.25,1.0,0.0
std-869,male,group C,297.0,B,74.25,1.0,1.0
std-872,male,group C,325.0,A,81.25,1.0,1.0
std-875,male,group C,273.0,B,68.25,0.0,0.0
std-876,male,group E,267.0,B,66.75,1.0,1.0
std-877,male,group E,301.0,B,75.25,1.0,1.0
std-878,male,group D,259.0,B,64.75,0.0,1.0
std-879,male,group E,277.0,B,69.25,1.0,0.0
std-881,male,group C,269.0,B,67.25,1.0,0.0
std-882,male,group B,255.0,B,63.75,0.0,0.0
std-884,male,group B,301.0,B,75.25,1.0,0.0
std-886,male,group B,260.0,B,65.0,1.0,0.0
std-889,male,group C,274.0,B,68.5,1.0,0.0
std-890,male,group C,265.0,B,66.25,0.0,1.0
std-892,male,group A,336.0,A,84.0,1.0,1.0
std-893,male,group A,285.0,B,71.25,0.0,1.0
std-896,male,group D,305.0,B,76.25,1.0,0.0
std-899,male,group C,329.0,A,82.25,1.0,0.0
std-900,male,group E,293.0,B,73.25,0.0,0.0
std-901,male,group C,298.0,B,74.5,1.0,0.0
std-902,male,group D,261.0,B,65.25,1.0,0.0
std-907,male,group D,281.0,B,70.25,0.0,0.0
std-909,male,group E,273.0,B,68.25,1.0,1.0
std-911,male,group C,279.0,B,69.75,0.0,1.0
std-912,male,group C,268.0,B,67.0,1.0,1.0
std-914,male,group E,315.0,B,78.75,1.0,0.0
std-915,male,group B,284.0,B,71.0,1.0,1.0
std-916,male,group B,322.0,A,80.5,1.0,0.0
std-917,male,group C,267.0,B,66.75,1.0,1.0
std-918,male,group E,284.0,B,71.0,1.0,0.0
std-919,male,group D,286.0,B,71.5,1.0,0.0
std-922,male,group C,272.0,B,68.0,0.0,0.0
std-923,male,group E,268.0,B,67.0,0.0,1.0
std-924,male,group D,257.0,B,64.25,0.0,0.0
std-926,male,group A,325.0,A,81.25,0.0,1.0
std-927,male,group D,282.0,B,70.5,1.0,1.0
std-929,male,group C,277.0,B,69.25,0.0,0.0
std-931,male,group C,288.0,B,72.0,1.0,1.0
std-936,male,group C,298.0,B,,0.0,1.0
std-938,male,group A,310.0,B,,1.0,1.0
std-940,male,group A,267.0,B,66.75,0.0,1.0
std-941,male,group D,300.0,B,75.0,0.0,1.0
std-942,male,group B,279.0,B,69.75,0.0,0.0
std-943,male,group C,289.0,B,72.25,1.0,0.0
std-944,male,group B,323.0,A,80.75,0.0,0.0
std-945,male,group B,305.0,B,76.25,1.0,0.0
std-950,male,group D,257.0,B,64.25,1.0,1.0
std-953,male,group E,322.0,A,80.5,0.0,0.0
std-954,male,group D,303.0,B,75.75,0.0,1.0
std-955,male,group D,334.0,A,83.5,1.0,1.0
std-956,male,group C,348.0,A,87.0,0.0,0.0
std-957,male,group A,277.0,B,69.25,1.0,0.0
std-958,male,group B,299.0,B,74.75,1.0,0.0
std-959,male,group D,261.0,B,65.25,0.0,0.0
std-961,male,group C,291.0,B,72.75,1.0,0.0
std-964,male,group D,255.0,B,63.75,1.0,0.0
std-965,male,group C,293.0,B,73.25,0.0,1.0
std-967,male,group D,294.0,B,73.5,0.0,0.0
std-970,male,group B,250.0,B,62.5,0.0,1.0
std-972,male,group E,273.0,B,68.25,1.0,0.0
std-977,male,group D,259.0,B,64.75,1.0,1.0
std-978,male,group C,298.0,B,74.5,0.0,1.0
std-979,male,group E,317.0,B,79.25,0.0,0.0
std-980,male,group A,291.0,B,72.75,0.0,0.0
std-981,male,group C,293.0,B,73.25,1.0,0.0
std-985,male,group D,310.0,B,77.5,1.0,0.0
std-987,male,group D,280.0,B,70.0,1.0,1.0
std-988,male,group A,281.0,B,70.25,1.0,0.0
