roll_no,gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score,science_score,total_score,grade,academic_strength,is_at_risk,performance_balance,socioeconomic_proxy,parental_education_level,gender_binary,high_achiever,science_strong,is_outlier
std-30,male,group E,high school,0.0,1.0,49.0,54.0,61.0,78.0,242.0,C,60.5,0,12.662279942148386,0.5,2.0,0,0,1,False
std-31,male,group E,some high school,1.0,1.0,72.0,89.0,64.0,81.0,306.0,B,76.5,0,10.847426730181986,1.0,1.0,0,1,1,False
std-32,male,group A,associate's degree,0.0,0.0,18.0,69.0,82.0,9.0,178.0,D,44.5,1,36.373066958946424,0.0,4.0,0,0,0,True
std-33,male,group C,associate's degree,0.0,0.0,11.0,67.0,60.0,31.0,169.0,D,42.25,1,26.01762223314549,0.0,4.0,0,0,0,False
std-34,male,group A,some college,1.0,1.0,41.0,77.0,97.0,65.0,280.0,B,70.0,0,23.40939982143925,1.0,3.0,0,1,0,False
std-35,male,group C,associate's degree,1.0,0.0,32.0,71.0,74.0,70.0,247.0,C,61.75,0,19.90602923739438,0.5,4.0,0,0,1,False
std-36,male,group A,some college,1.0,0.0,85.0,76.0,74.0,57.0,292.0,B,73.0,0,11.69045194450012,0.5,3.0,0,1,0,False
std-37,male,group C,some high school,1.0,0.0,78.0,82.0,52.0,71.0,283.0,B,70.75,0,13.30100246848585,0.5,1.0,0,1,1,False
std-38,,group C,associate's degree,1.0,1.0,36.0,70.0,57.0,93.0,256.0,B,64.0,0,23.874672772626646,1.0,4.0,0,1,1,False
std-39,male,group D,high school,0.0,0.0,68.0,66.0,86.0,99.0,319.0,B,79.75,0,15.671098663888673,0.0,2.0,0,1,1,False
std-40,male,group D,,1.0,0.0,97.0,89.0,64.0,66.0,316.0,B,79.0,0,16.51262143533445,0.5,,0,1,0,False
std-41,male,group D,some high school,,0.0,38.0,97.0,55.0,62.0,252.0,B,63.0,0,24.805913273518744,,1.0,0,1,0,False
std-42,male,group D,high school,1.0,,38.0,92.0,95.0,50.0,275.0,B,68.75,0,29.0215437218629,,2.0,0,1,0,False
std-43,male,group B,high school,1.0,0.0,,38.0,54.0,65.0,215.0,C,,0,13.576941236277534,0.5,2.0,0,0,0,False
std-44,male,group A,bachelor's degree,0.0,0.0,78.0,,81.0,71.0,313.0,B,,0,5.131601439446884,0.0,5.0,0,1,0,False
std-45,male,group D,some college,1.0,0.0,64.0,81.0,,96.0,297.0,B,,0,16.010413278030438,0.5,3.0,0,1,0,False
std-46,male,group C,some college,1.0,0.0,60.0,43.0,33.0,,212.0,C,,0,13.650396819628845,0.5,3.0,0,0,0,False
std-47,male,group D,some college,0.0,0.0,60.0,56.0,78.0,67.0,,B,65.25,0,9.63932916061417,0.0,3.0,0,1,1,False
std-48,male,group C,high school,0.0,0.0,38.0,90.0,53.0,60.0,241.0,C,60.25,0,21.85368008673444,0.0,2.0,0,0,0,False
std-49,male,group D,some high school,0.0,0.0,69.0,98.0,98.0,46.0,311.0,B,77.75,0,25.1975527912269,0.0,1.0,0,1,0,False
std-50,male,group E,high school,0.0,0.0,87.0,63.0,48.0,55.0,253.0,B,63.25,0,16.977926846349646,0.0,2.0,0,1,0,False
std-51,male,group B,some high school,1.0,0.0,83.0,56.0,,,272.0,B,,0,19.091883092036785,0.5,1.0,0,1,0,False
std-52,male,group D,associate's degree,0.0,1.0,42.0,64.0,57.0,94.0,257.0,B,64.25,0,21.85368008673444,0.5,4.0,0,1,1,False
std-53,male,group C,bachelor's degree,1.0,1.0,72.0,,69.0,28.0,242.0,C,,0,24.583192089989726,1.0,5.0,0,0,0,False
std-54,male,group C,some college,1.0,0.0,,100.0,59.0,9.0,212.0,C,,0,45.574115460423364,0.5,3.0,0,0,0,True
std-55,male,group B,some college,0.0,,52.0,98.0,73.0,75.0,298.0,B,74.5,0,18.806027402582043,,3.0,0,1,1,False
std-56,male,group B,associate's degree,,1.0,65.0,66.0,60.0,57.0,248.0,C,62.0,0,4.242640687119285,,4.0,0,0,0,False
std-57,male,group C,,1.0,1.0,27.0,55.0,100.0,38.0,220.0,C,55.0,0,32.13513134665341,1.0,,0,0,0,False
std-58,male,,bachelor's degree,0.0,0.0,46.0,91.0,30.0,69.0,236.0,C,59.0,0,26.670833007863354,0.0,5.0,0,0,1,False
std-59,,group C,associate's degree,1.0,1.0,12.0,83.0,74.0,63.0,232.0,C,58.0,0,31.73851498311371,1.0,4.0,0,0,1,False
std-60,male,group D,some high school,1.0,0.0,51.0,73.0,100.0,60.0,284.0,B,71.0,0,21.33854103103896,0.5,1.0,0,1,0,False
std-61,male,group D,some high school,1.0,0.0,32.0,100.0,77.0,61.0,270.0,B,67.5,0,28.571547618799606,0.5,1.0,0,1,0,False
std-62,male,group B,some high school,1.0,0.0,75.0,86.0,73.0,79.0,313.0,B,78.25,0,5.737304826019502,0.5,1.0,0,1,1,False
std-63,male,group B,associate's degree,0.0,1.0,60.0,53.0,82.0,71.0,266.0,B,66.5,0,12.7148207485071,0.5,4.0,0,1,1,False
std-64,male,group D,some college,1.0,0.0,20.0,76.0,63.0,71.0,230.0,C,57.5,0,25.566905692059542,0.5,3.0,0,0,1,False
std-65,male,group B,bachelor's degree,1.0,1.0,85.0,82.0,80.0,72.0,319.0,B,79.75,0,5.560275772537426,1.0,5.0,0,1,0,False
std-66,male,group D,associate's degree,1.0,0.0,81.0,88.0,100.0,100.0,369.0,A,92.25,0,9.394147114027968,0.5,4.0,0,1,1,False
std-67,male,group A,associate's degree,1.0,0.0,98.0,40.0,32.0,51.0,221.0,C,55.25,0,29.545163168726393,0.5,4.0,0,0,0,False
std-68,male,group C,master's degree,1.0,1.0,72.0,90.0,61.0,65.0,288.0,B,72.0,0,12.832251036613439,1.0,6.0,0,1,0,False
std-69,male,group C,master's degree,1.0,0.0,83.0,89.0,56.0,74.0,302.0,B,75.5,0,14.38749456993816,0.5,6.0,0,1,0,False
std-70,male,group C,some college,1.0,0.0,100.0,62.0,32.0,74.0,268.0,B,67.0,0,28.21347195933177,0.5,3.0,0,1,1,False
std-71,male,group A,some high school,0.0,0.0,24.0,86.0,68.0,52.0,230.0,C,57.5,0,26.299556396765833,0.0,1.0,0,0,0,False
std-72,male,group D,some high school,1.0,0.0,71.0,90.0,68.0,72.0,301.0,B,75.25,0,9.97914491994847,0.5,1.0,0,1,0,False
std-73,male,group B,some college,1.0,0.0,20.0,73.0,100.0,56.0,249.0,C,62.25,0,33.49004827308156,0.5,3.0,0,0,0,False
std-74,male,group E,associate's degree,1.0,0.0,23.0,57.0,65.0,65.0,210.0,C,52.5,0,20.024984394500787,0.5,4.0,0,0,1,False
std-75,male,group A,associate's degree,0.0,1.0,82.0,30.0,53.0,75.0,240.0,C,60.0,0,23.50886357667394,0.5,4.0,0,0,1,False
std-76,male,group C,some college,1.0,0.0,49.0,30.0,53.0,33.0,165.0,D,41.25,1,11.4418821295566,0.5,3.0,0,0,0,False
std-77,male,group D,master's degree,1.0,0.0,35.0,62.0,33.0,46.0,176.0,D,44.0,1,13.291601358251256,0.5,6.0,0,0,1,False
std-78,male,group D,some college,0.0,0.0,55.0,58.0,98.0,74.0,285.0,B,71.25,0,19.6871362400257,0.0,3.0,0,1,1,False
std-79,male,group B,some high school,1.0,0.0,32.0,100.0,78.0,36.0,246.0,C,61.5,0,33.04037933599835,0.5,1.0,0,0,0,False
std-80,male,group D,high school,0.0,0.0,19.0,60.0,25.0,78.0,182.0,D,45.5,1,28.219378684395824,0.0,2.0,0,0,1,False
std-81,male,group E,bachelor's degree,1.0,1.0,47.0,70.0,100.0,90.0,307.0,B,76.75,0,23.428970670233607,1.0,5.0,0,1,1,False
std-82,male,group E,high school,0.0,1.0,48.0,76.0,80.0,100.0,304.0,B,76.0,0,21.416504538945347,0.5,2.0,0,1,1,False
std-83,male,group E,master's degree,1.0,0.0,29.0,77.0,44.0,79.0,229.0,C,57.25,0,24.743686063317245,0.5,6.0,0,0,1,False
std-84,male,group E,bachelor's degree,1.0,0.0,34.0,70.0,41.0,53.0,198.0,D,49.5,1,15.758595538097085,0.5,5.0,0,0,1,False
std-85,male,group D,associate's degree,1.0,0.0,74.0,69.0,26.0,60.0,229.0,C,57.25,0,21.623675296612586,0.5,4.0,0,0,1,False
std-86,male,group E,some college,1.0,0.0,44.0,90.0,58.0,72.0,264.0,B,66.0,0,19.6638416050035,0.5,3.0,0,1,1,False
std-87,male,group C,some college,1.0,1.0,28.0,82.0,87.0,52.0,249.0,C,62.25,0,27.572631357924475,1.0,3.0,0,0,0,False
std-88,male,group B,master's degree,1.0,0.0,72.0,76.0,49.0,88.0,285.0,B,71.25,0,16.31716887208072,0.5,6.0,0,1,1,False
std-89,male,group E,some college,1.0,1.0,43.0,82.0,50.0,56.0,231.0,C,57.75,0,17.017148213885115,1.0,3.0,0,0,0,False
std-90,male,group E,some college,1.0,0.0,71.0,65.0,59.0,60.0,255.0,B,63.75,0,5.5,0.5,3.0,0,1,0,False
std-91,male,group B,some college,1.0,1.0,62.0,58.0,45.0,33.0,198.0,D,49.5,1,13.178264933847197,1.0,3.0,0,0,0,False
std-92,male,group C,some college,1.0,0.0,42.0,60.0,80.0,74.0,256.0,B,64.0,0,16.89181261242657,0.5,3.0,0,1,1,False
std-93,male,group E,associate's degree,0.0,0.0,43.0,86.0,83.0,93.0,305.0,B,76.25,0,22.559181427229728,0.0,4.0,0,1,1,False
std-94,male,group B,high school,0.0,1.0,21.0,60.0,18.0,66.0,165.0,D,41.25,1,25.26361019331956,0.5,2.0,0,0,1,True
std-95,male,group B,some high school,1.0,0.0,72.0,86.0,23.0,62.0,243.0,C,60.75,0,27.02313823374332,0.5,1.0,0,0,1,False
std-96,male,group E,associate's degree,0.0,0.0,93.0,85.0,30.0,79.0,287.0,B,71.75,0,28.41801072090257,0.0,4.0,0,1,1,False
std-97,male,group D,some high school,1.0,0.0,66.0,91.0,95.0,59.0,311.0,B,77.75,0,17.914147109663542,0.5,1.0,0,1,0,False
std-98,male,group D,some college,1.0,1.0,65.0,65.0,64.0,27.0,221.0,C,55.25,0,18.83923211457056,1.0,3.0,0,0,0,False
std-99,male,group D,master's degree,0.0,0.0,47.0,64.0,54.0,23.0,188.0,D,47.0,1,17.45470328211473,0.0,6.0,0,0,0,False
std-100,male,group C,some high school,0.0,0.0,0.0,37.0,62.0,94.0,193.0,D,48.25,1,39.73558438813586,0.0,1.0,0,0,1,False
std-101,male,group D,associate's degree,1.0,1.0,25.0,78.0,69.0,36.0,208.0,C,52.0,0,25.495097567963924,1.0,4.0,0,0,0,False
std-102,male,group B,associate's degree,1.0,1.0,78.0,82.0,62.0,15.0,237.0,C,59.25,0,30.73949685122817,1.0,4.0,0,0,0,False
std-103,male,group B,high school,0.0,0.0,82.0,84.0,82.0,79.0,327.0,A,81.75,0,2.0615528128088303,0.0,2.0,0,1,0,False
std-104,male,group E,some college,1.0,1.0,46.0,98.0,96.0,100.0,340.0,A,85.0,0,26.05123157677323,1.0,3.0,0,1,1,False
std-105,male,group C,some college,1.0,0.0,13.0,100.0,68.0,10.0,191.0,D,47.75,1,43.86627406105971,0.5,3.0,0,0,0,True
std-106,male,group D,bachelor's degree,1.0,0.0,28.0,79.0,71.0,42.0,220.0,C,55.0,0,24.013884872437167,0.5,5.0,0,0,0,False
std-107,male,group A,some college,1.0,0.0,35.0,74.0,58.0,51.0,218.0,C,54.5,0,16.176114078067904,0.5,3.0,0,0,0,False
std-108,male,group A,associate's degree,1.0,1.0,39.0,64.0,93.0,77.0,273.0,B,68.25,0,22.82359889821644,1.0,4.0,0,1,1,False
std-109,male,group C,high school,1.0,1.0,51.0,69.0,68.0,36.0,224.0,C,56.0,0,15.684387141358123,1.0,2.0,0,0,0,False
std-110,male,group B,master's degree,0.0,0.0,71.0,89.0,71.0,83.0,314.0,B,78.5,0,9.0,0.0,6.0,0,1,1,False
std-111,male,group D,high school,0.0,0.0,45.0,65.0,37.0,50.0,197.0,D,49.25,1,11.786291472158096,0.0,2.0,0,0,1,False
std-112,male,group E,high school,1.0,1.0,57.0,60.0,56.0,52.0,225.0,C,56.25,0,3.304037933599835,1.0,2.0,0,0,0,False
std-113,male,group C,bachelor's degree,1.0,1.0,44.0,89.0,100.0,88.0,321.0,A,80.25,0,24.770614310778274,1.0,5.0,0,1,1,False
std-114,male,group C,some high school,1.0,0.0,20.0,69.0,78.0,61.0,228.0,C,57.0,0,25.625508125043424,0.5,1.0,0,0,1,False
std-115,male,group A,associate's degree,1.0,0.0,54.0,95.0,71.0,80.0,300.0,B,75.0,0,17.146428199482248,0.5,4.0,0,1,1,False
std-116,male,group C,associate's degree,0.0,0.0,28.0,53.0,84.0,38.0,203.0,C,50.75,0,24.43187808308372,0.0,4.0,0,0,0,False
std-117,male,group C,some college,1.0,0.0,21.0,47.0,55.0,49.0,172.0,D,43.0,1,15.05545305418162,0.5,3.0,0,0,1,False
std-118,male,group C,some high school,1.0,1.0,66.0,91.0,40.0,40.0,237.0,C,59.25,0,24.45914961727002,1.0,1.0,0,0,0,False
std-119,male,group A,associate's degree,1.0,1.0,18.0,95.0,72.0,49.0,234.0,C,58.5,0,32.88870120066566,1.0,4.0,0,0,0,False
std-120,male,group B,some college,1.0,0.0,70.0,59.0,29.0,50.0,208.0,C,52.0,0,17.378147196982766,0.5,3.0,0,0,0,False
std-121,male,group C,high school,1.0,0.0,30.0,63.0,76.0,48.0,217.0,C,54.25,0,19.80530232033836,0.5,2.0,0,0,0,False
std-122,male,group C,associate's degree,1.0,0.0,98.0,68.0,100.0,69.0,335.0,A,83.75,0,17.63282923034947,0.5,4.0,0,1,0,False
std-123,male,group E,associate's degree,0.0,0.0,85.0,98.0,64.0,73.0,320.0,A,80.0,0,14.7648230602334,0.0,4.0,0,1,0,False
std-124,male,group C,some high school,1.0,0.0,75.0,90.0,51.0,91.0,307.0,B,76.75,0,18.661457606521523,0.5,1.0,0,1,1,False
std-125,male,group A,master's degree,0.0,1.0,97.0,100.0,69.0,58.0,324.0,A,81.0,0,20.73644135332772,0.5,6.0,0,1,0,False
std-126,male,group B,some college,1.0,0.0,20.0,76.0,27.0,43.0,166.0,D,41.5,1,24.933244206614322,0.5,3.0,0,0,1,False
std-127,male,group C,high school,1.0,1.0,50.0,100.0,67.0,100.0,317.0,B,79.25,0,24.944939366532843,1.0,2.0,0,1,1,False
std-128,male,group D,some college,1.0,1.0,65.0,85.0,72.0,72.0,294.0,B,73.5,0,8.34665601703261,1.0,3.0,0,1,0,False
std-129,male,group E,some college,0.0,1.0,23.0,100.0,92.0,67.0,282.0,B,70.5,0,34.645827069552446,0.5,3.0,0,1,0,False
std-130,male,group B,master's degree,1.0,0.0,32.0,48.0,51.0,9.0,140.0,Fail,35.0,1,19.235384061671343,0.5,6.0,0,0,0,True
std-131,male,group E,high school,1.0,0.0,61.0,59.0,100.0,54.0,274.0,B,68.5,0,21.205345238091898,0.5,2.0,0,1,0,False
std-132,male,group B,some high school,0.0,0.0,73.0,78.0,96.0,81.0,328.0,A,82.0,0,9.899494936611665,0.0,1.0,0,1,0,False
std-133,male,group B,bachelor's degree,1.0,0.0,88.0,85.0,79.0,100.0,352.0,A,88.0,0,8.831760866327848,0.5,5.0,0,1,1,False
std-134,male,group C,some high school,0.0,1.0,60.0,92.0,41.0,28.0,221.0,C,55.25,0,27.801378862687127,0.5,1.0,0,0,0,False
std-135,male,group B,bachelor's degree,1.0,1.0,25.0,82.0,80.0,94.0,281.0,B,70.25,0,30.793668180325643,1.0,5.0,0,1,1,False
std-136,male,group E,some high school,1.0,1.0,93.0,81.0,75.0,91.0,340.0,A,85.0,0,8.48528137423857,1.0,1.0,0,1,1,False
std-137,male,group D,some high school,1.0,0.0,72.0,44.0,78.0,58.0,252.0,B,63.0,0,15.18771433319269,0.5,1.0,0,1,0,False
std-138,male,group D,some college,0.0,1.0,64.0,65.0,81.0,100.0,310.0,B,77.5,0,16.901676445449624,0.5,3.0,0,1,1,False
std-139,male,group D,some college,1.0,0.0,41.0,72.0,88.0,64.0,265.0,B,66.25,0,19.56825660774783,0.5,3.0,0,1,0,False
std-140,male,group C,some high school,1.0,1.0,36.0,67.0,60.0,77.0,240.0,C,60.0,0,17.45470328211473,1.0,1.0,0,0,1,False
std-141,male,group C,associate's degree,0.0,1.0,33.0,88.0,31.0,97.0,249.0,C,62.25,0,35.131894341182345,0.5,4.0,0,0,1,False
std-142,male,group D,associate's degree,1.0,0.0,54.0,86.0,62.0,78.0,280.0,B,70.0,0,14.60593486680443,0.5,4.0,0,1,1,False
std-143,male,group B,high school,1.0,1.0,44.0,49.0,60.0,39.0,192.0,D,48.0,1,8.981462390204987,1.0,2.0,0,0,0,False
std-144,male,group A,master's degree,1.0,0.0,44.0,17.0,92.0,86.0,239.0,C,59.75,0,35.61249780624774,0.5,6.0,0,0,1,False
std-145,male,group D,high school,1.0,0.0,19.0,84.0,99.0,62.0,264.0,B,66.0,0,34.82336380458767,0.5,2.0,0,1,0,False
std-146,male,group C,master's degree,1.0,0.0,29.0,59.0,47.0,48.0,183.0,D,45.75,1,12.419742348374221,0.5,6.0,0,0,1,False
std-147,male,group C,some high school,0.0,1.0,39.0,58.0,72.0,25.0,194.0,D,48.5,1,20.69621543503385,0.5,1.0,0,0,0,False
std-148,male,group C,some college,0.0,0.0,24.0,77.0,94.0,9.0,204.0,C,51.0,0,40.89824772122476,0.0,3.0,0,0,0,True
std-149,male,group C,some college,1.0,0.0,76.0,91.0,100.0,41.0,308.0,B,77.0,0,25.96150997149434,0.5,3.0,0,1,0,False
std-150,male,group C,master's degree,0.0,0.0,74.0,62.0,86.0,91.0,313.0,B,78.25,0,12.971121771072847,0.0,6.0,0,1,1,False
std-151,male,group E,some college,1.0,1.0,65.0,62.0,63.0,56.0,246.0,C,61.5,0,3.872983346207417,1.0,3.0,0,0,0,False
std-152,male,group B,master's degree,0.0,0.0,38.0,63.0,59.0,82.0,242.0,C,60.5,0,18.046236911518886,0.0,6.0,0,0,1,False
std-153,male,group C,high school,1.0,0.0,71.0,58.0,56.0,73.0,258.0,B,64.5,0,8.736894948054104,0.5,2.0,0,1,1,False
std-154,male,group D,some high school,0.0,0.0,75.0,100.0,100.0,34.0,309.0,B,77.25,0,31.148836254345042,0.0,1.0,0,1,0,False
std-155,male,group B,bachelor's degree,0.0,0.0,68.0,79.0,77.0,89.0,313.0,B,78.25,0,8.616843969807043,0.0,5.0,0,1,1,False
std-156,male,group D,high school,1.0,0.0,34.0,91.0,64.0,44.0,233.0,C,58.25,0,25.144581921360317,0.5,2.0,0,0,0,False
std-157,male,group A,some high school,0.0,0.0,45.0,48.0,67.0,9.0,169.0,D,42.25,1,24.212600025606502,0.0,1.0,0,0,0,True
std-158,male,group C,some college,0.0,1.0,46.0,34.0,86.0,59.0,225.0,C,56.25,0,22.306576010973384,0.5,3.0,0,0,1,False
std-159,male,group B,some college,0.0,0.0,82.0,87.0,52.0,60.0,281.0,B,70.25,0,16.899211026948368,0.0,3.0,0,1,0,False
std-160,male,,,1.0,0.0,57.0,59.0,95.0,99.0,310.0,B,77.5,0,22.5905584998099,0.5,,0,1,1,False
std-161,male,group C,master's degree,,0.0,0.0,93.0,66.0,80.0,239.0,C,59.75,0,41.33098111586513,,6.0,0,0,1,False
std-162,male,group D,some college,0.0,,88.0,,59.0,46.0,257.0,B,,0,21.501937897160182,,3.0,0,1,0,False
std-163,male,group E,bachelor's degree,1.0,0.0,27.0,100.0,,82.0,296.0,B,,0,38.03068936179481,0.5,5.0,0,1,0,False
std-164,male,group A,bachelor's degree,0.0,1.0,17.0,97.0,63.0,44.0,221.0,C,55.25,0,33.62910445829129,0.5,5.0,0,0,0,False
std-165,male,group C,some college,0.0,1.0,62.0,87.0,73.0,56.0,,B,69.5,0,13.625955623979797,0.5,3.0,0,1,0,False
std-166,male,group C,bachelor's degree,0.0,1.0,16.0,100.0,47.0,32.0,195.0,,48.75,0,36.436016979540085,0.5,5.0,0,0,0,False
std-167,male,group D,some college,0.0,0.0,89.0,68.0,64.0,99.0,320.0,A,80.0,0,16.753109164172084,0.0,3.0,0,1,1,False
std-168,male,group A,associate's degree,1.0,0.0,50.0,60.0,57.0,32.0,199.0,D,49.75,1,12.553220038433698,0.5,4.0,0,0,0,False
std-169,male,group C,high school,1.0,0.0,40.0,98.0,53.0,84.0,275.0,B,68.75,0,26.849891371599004,0.5,2.0,0,1,1,False
std-170,male,group E,bachelor's degree,0.0,1.0,56.0,81.0,52.0,69.0,258.0,B,64.5,0,13.178264933847197,0.5,5.0,0,1,1,False
std-171,male,group C,bachelor's degree,0.0,0.0,80.0,70.0,37.0,75.0,262.0,B,65.5,0,19.433647796197878,0.0,5.0,0,1,1,False
std-172,male,group E,bachelor's degree,1.0,0.0,74.0,70.0,36.0,41.0,221.0,C,55.25,0,19.517086531208154,0.5,5.0,0,0,0,False
std-173,male,group D,bachelor's degree,0.0,1.0,23.0,87.0,73.0,86.0,269.0,B,67.25,0,30.181396035748026,0.5,5.0,0,1,1,False
std-174,male,group D,high school,1.0,0.0,53.0,51.0,73.0,87.0,264.0,B,66.0,0,17.165857586111645,0.5,2.0,0,1,1,False
std-175,male,group D,some college,1.0,0.0,39.0,41.0,48.0,62.0,190.0,D,47.5,1,10.408329997330663,0.5,3.0,0,0,1,False
std-176,male,group B,master's degree,0.0,0.0,30.0,69.0,93.0,91.0,283.0,B,70.75,0,29.261749776799064,0.0,6.0,0,1,1,False
std-177,male,group E,high school,1.0,1.0,68.0,91.0,65.0,98.0,322.0,A,80.5,0,16.46207763315433,1.0,2.0,0,1,1,False
std-178,male,group E,some high school,1.0,1.0,71.0,80.0,58.0,58.0,267.0,B,66.75,0,10.750968948580091,1.0,1.0,0,1,0,False
std-179,male,group D,associate's degree,1.0,0.0,14.0,36.0,25.0,,124.0,Fail,,1,11.0,0.5,4.0,0,0,0,True
std-180,male,group C,some high school,1.0,1.0,44.0,80.0,,61.0,285.0,B,,0,18.009256878986797,1.0,1.0,0,1,0,False
std-181,male,group C,high school,0.0,0.0,69.0,,49.0,48.0,248.0,C,,0,11.846237095944574,0.0,2.0,0,0,0,False
std-182,male,group B,high school,0.0,0.0,,95.0,33.0,49.0,219.0,C,,0,32.18695387886216,0.0,2.0,0,0,0,False
std-183,male,group D,bachelor's degree,1.0,,49.0,70.0,93.0,64.0,276.0,B,69.0,0,18.275666882497067,,5.0,0,1,0,False
std-184,male,group D,some college,,1.0,84.0,75.0,67.0,62.0,288.0,B,72.0,0,9.626352718795768,,3.0,0,1,0,False
std-185,male,group E,,1.0,0.0,55.0,86.0,70.0,92.0,303.0,B,75.75,0,16.660832312142553,0.5,,0,1,1,False
std-186,male,,master's degree,1.0,0.0,49.0,90.0,55.0,94.0,288.0,B,72.0,0,23.280893453645632,0.5,6.0,0,1,1,False
std-187,male,group C,associate's degree,1.0,1.0,41.0,72.0,63.0,97.0,273.0,B,68.25,0,23.17146233336745,1.0,4.0,0,1,1,False
std-188,male,group D,bachelor's degree,1.0,1.0,49.0,58.0,66.0,34.0,207.0,C,51.75,0,13.720422734012244,1.0,5.0,0,0,0,False
std-189,male,group B,some college,1.0,0.0,16.0,100.0,88.0,36.0,240.0,C,60.0,0,40.39801975344831,0.5,3.0,0,0,0,False
std-190,male,group C,associate's degree,0.0,1.0,37.0,99.0,52.0,45.0,233.0,C,58.25,0,27.849296819369307,0.5,4.0,0,0,0,False
